INSERT INTO asset VALUES
(0, 'host0'),
(1, 'host1'),
(2, 'host2'),
(3, 'host3'),
(4, 'host4'),
(5, 'host5'),
(6, 'host6'),
(7, 'host7'),
(8, 'host8'),
(9, 'host9'),
(10, 'host10'),
(11, 'host11'),
(12, 'host12'),
(13, 'host13'),
(14, 'host14'),
(15, 'host15'),
(16, 'host16'),
(17, 'host17'),
(18, 'host18'),
(19, 'host19'),
(20, 'host20'),
(21, 'host21'),
(22, 'host22'),
(23, 'host23'),
(24, 'host24'),
(25, 'host25'),
(26, 'host26'),
(27, 'host27'),
(28, 'host28'),
(29, 'host29'),
(30, 'host30'),
(31, 'host31'),
(32, 'host32'),
(33, 'host33'),
(34, 'host34'),
(35, 'host35'),
(36, 'host36'),
(37, 'host37'),
(38, 'host38'),
(39, 'host39'),
(40, 'host40'),
(41, 'host41'),
(42, 'host42'),
(43, 'host43'),
(44, 'host44'),
(45, 'host45'),
(46, 'host46'),
(47, 'host47'),
(48, 'host48'),
(49, 'host49'),
(50, 'host50'),
(51, 'host51'),
(52, 'host52');
INSERT INTO quality VALUES
(0, 'root', '=', 'true'),
(2, 'os', '=', 'v1', 'true'),
(3, 'os', '=', 'v2', 'true'),
(4, 'os', '=', 'v2', 'true'),
(6, 'os', '=', 'v3', 'true'),
(7, 'os', '=', 'v4', 'true'),
(8, 'os', '=', 'v4', 'true'),
(10, 'os', '=', 'v5', 'true'),
(11, 'os', '=', 'v6', 'true'),
(12, 'os', '=', 'v6', 'true'),
(14, 'os', '=', 'v7', 'true'),
(15, 'os', '=', 'v8', 'true'),
(16, 'os', '=', 'v8', 'true'),
(18, 'os', '=', 'v9', 'true'),
(19, 'os', '=', 'v10', 'true'),
(20, 'os', '=', 'v10', 'true'),
(22, 'os', '=', 'v11', 'true'),
(23, 'os', '=', 'v12', 'true'),
(24, 'os', '=', 'v12', 'true'),
(26, 'os', '=', 'v13', 'true'),
(27, 'os', '=', 'v14', 'true'),
(28, 'os', '=', 'v14', 'true'),
(30, 'os', '=', 'v15', 'true'),
(31, 'os', '=', 'v16', 'true'),
(32, 'os', '=', 'v16', 'true'),
(34, 'os', '=', 'v17', 'true'),
(35, 'os', '=', 'v18', 'true'),
(36, 'os', '=', 'v18', 'true'),
(38, 'os', '=', 'v19', 'true'),
(39, 'os', '=', 'v20', 'true'),
(40, 'os', '=', 'v20', 'true'),
(42, 'os', '=', 'v21', 'true'),
(43, 'os', '=', 'v22', 'true'),
(44, 'os', '=', 'v22', 'true'),
(46, 'os', '=', 'v23', 'true'),
(47, 'os', '=', 'v24', 'true'),
(48, 'os', '=', 'v24', 'true'),
(50, 'os', '=', 'v25', 'true'),
(51, 'os', '=', 'v26', 'true'),
(52, 'os', '=', 'v26', 'true');
INSERT INTO topology VALUES
(0, 1, '->', 'conn', '', ''),
(36, 37, '->', 'conn', '', ''),
(36, 38, '->', 'conn', '', ''),
(37, 39, '->', 'conn', '', ''),
(37, 40, '->', 'conn', '', ''),
(38, 39, '->', 'conn', '', ''),
(38, 40, '->', 'conn', '', ''),
(39, 41, '->', 'conn', '', ''),
(39, 42, '->', 'conn', '', ''),
(40, 41, '->', 'conn', '', ''),
(40, 42, '->', 'conn', '', ''),
(41, 43, '->', 'conn', '', ''),
(41, 44, '->', 'conn', '', ''),
(42, 43, '->', 'conn', '', ''),
(42, 44, '->', 'conn', '', ''),
(43, 45, '->', 'conn', '', ''),
(43, 46, '->', 'conn', '', ''),
(44, 45, '->', 'conn', '', ''),
(44, 46, '->', 'conn', '', ''),
(45, 47, '->', 'conn', '', ''),
(45, 48, '->', 'conn', '', ''),
(46, 47, '->', 'conn', '', ''),
(46, 48, '->', 'conn', '', ''),
(47, 49, '->', 'conn', '', ''),
(47, 50, '->', 'conn', '', ''),
(48, 49, '->', 'conn', '', ''),
(48, 50, '->', 'conn', '', ''),
(49, 51, '->', 'conn', '', ''),
(49, 52, '->', 'conn', '', ''),
(50, 51, '->', 'conn', '', ''),
(50, 52, '->', 'conn', '', '');
INSERT INTO exploit VALUES
(0, 'e0', 2),
(1, 'e1', 2),
(2, 'e2', 2),
(3, 'e3', 2),
(4, 'e4', 2),
(5, 'e5', 2),
(6, 'e6', 2),
(7, 'e7', 2),
(8, 'e8', 2),
(9, 'e9', 2),
(10, 'e10', 2),
(11, 'e11', 2),
(12, 'e12', 2),
(13, 'e13', 2),
(14, 'e14', 2),
(15, 'e15', 2),
(16, 'e16', 2),
(17, 'e17', 2),
(18, 'e18', 2),
(19, 'e19', 2),
(20, 'e20', 2),
(21, 'e21', 2),
(22, 'e22', 2),
(23, 'e23', 2),
(24, 'e24', 2),
(25, 'e25', 2);
INSERT INTO exploit_precondition VALUES
(0, 0, 0, 0, 0, 'root', 'true', '=', '(null)'),
(1, 0, 0, 1, 0, 'os', 'v1', '=', '(null)'),
(2, 0, 1, 0, 1, 'conn', '', '', '->'),
(3, 1, 0, 0, 0, 'root', 'true', '=', '(null)'),
(4, 1, 0, 1, 0, 'os', 'v2', '=', '(null)'),
(5, 1, 1, 0, 1, 'conn', '', '', '->'),
(6, 2, 0, 0, 0, 'root', 'true', '=', '(null)'),
(7, 2, 0, 1, 0, 'os', 'v3', '=', '(null)'),
(8, 2, 1, 0, 1, 'conn', '', '', '->'),
(9, 3, 0, 0, 0, 'root', 'true', '=', '(null)'),
(10, 3, 0, 1, 0, 'os', 'v4', '=', '(null)'),
(11, 3, 1, 0, 1, 'conn', '', '', '->'),
(12, 4, 0, 0, 0, 'root', 'true', '=', '(null)'),
(13, 4, 0, 1, 0, 'os', 'v5', '=', '(null)'),
(14, 4, 1, 0, 1, 'conn', '', '', '->'),
(15, 5, 0, 0, 0, 'root', 'true', '=', '(null)'),
(16, 5, 0, 1, 0, 'os', 'v6', '=', '(null)'),
(17, 5, 1, 0, 1, 'conn', '', '', '->'),
(18, 6, 0, 0, 0, 'root', 'true', '=', '(null)'),
(19, 6, 0, 1, 0, 'os', 'v7', '=', '(null)'),
(20, 6, 1, 0, 1, 'conn', '', '', '->'),
(21, 7, 0, 0, 0, 'root', 'true', '=', '(null)'),
(22, 7, 0, 1, 0, 'os', 'v8', '=', '(null)'),
(23, 7, 1, 0, 1, 'conn', '', '', '->'),
(24, 8, 0, 0, 0, 'root', 'true', '=', '(null)'),
(25, 8, 0, 1, 0, 'os', 'v9', '=', '(null)'),
(26, 8, 1, 0, 1, 'conn', '', '', '->'),
(27, 9, 0, 0, 0, 'root', 'true', '=', '(null)'),
(28, 9, 0, 1, 0, 'os', 'v10', '=', '(null)'),
(29, 9, 1, 0, 1, 'conn', '', '', '->'),
(30, 10, 0, 0, 0, 'root', 'true', '=', '(null)'),
(31, 10, 0, 1, 0, 'os', 'v11', '=', '(null)'),
(32, 10, 1, 0, 1, 'conn', '', '', '->'),
(33, 11, 0, 0, 0, 'root', 'true', '=', '(null)'),
(34, 11, 0, 1, 0, 'os', 'v12', '=', '(null)'),
(35, 11, 1, 0, 1, 'conn', '', '', '->'),
(36, 12, 0, 0, 0, 'root', 'true', '=', '(null)'),
(37, 12, 0, 1, 0, 'os', 'v13', '=', '(null)'),
(38, 12, 1, 0, 1, 'conn', '', '', '->'),
(39, 13, 0, 0, 0, 'root', 'true', '=', '(null)'),
(40, 13, 0, 1, 0, 'os', 'v14', '=', '(null)'),
(41, 13, 1, 0, 1, 'conn', '', '', '->'),
(42, 14, 0, 0, 0, 'root', 'true', '=', '(null)'),
(43, 14, 0, 1, 0, 'os', 'v15', '=', '(null)'),
(44, 14, 1, 0, 1, 'conn', '', '', '->'),
(45, 15, 0, 0, 0, 'root', 'true', '=', '(null)'),
(46, 15, 0, 1, 0, 'os', 'v16', '=', '(null)'),
(47, 15, 1, 0, 1, 'conn', '', '', '->'),
(48, 16, 0, 0, 0, 'root', 'true', '=', '(null)'),
(49, 16, 0, 1, 0, 'os', 'v17', '=', '(null)'),
(50, 16, 1, 0, 1, 'conn', '', '', '->'),
(51, 17, 0, 0, 0, 'root', 'true', '=', '(null)'),
(52, 17, 0, 1, 0, 'os', 'v18', '=', '(null)'),
(53, 17, 1, 0, 1, 'conn', '', '', '->'),
(54, 18, 0, 0, 0, 'root', 'true', '=', '(null)'),
(55, 18, 0, 1, 0, 'os', 'v19', '=', '(null)'),
(56, 18, 1, 0, 1, 'conn', '', '', '->'),
(57, 19, 0, 0, 0, 'root', 'true', '=', '(null)'),
(58, 19, 0, 1, 0, 'os', 'v20', '=', '(null)'),
(59, 19, 1, 0, 1, 'conn', '', '', '->'),
(60, 20, 0, 0, 0, 'root', 'true', '=', '(null)'),
(61, 20, 0, 1, 0, 'os', 'v21', '=', '(null)'),
(62, 20, 1, 0, 1, 'conn', '', '', '->'),
(63, 21, 0, 0, 0, 'root', 'true', '=', '(null)'),
(64, 21, 0, 1, 0, 'os', 'v22', '=', '(null)'),
(65, 21, 1, 0, 1, 'conn', '', '', '->'),
(66, 22, 0, 0, 0, 'root', 'true', '=', '(null)'),
(67, 22, 0, 1, 0, 'os', 'v23', '=', '(null)'),
(68, 22, 1, 0, 1, 'conn', '', '', '->'),
(69, 23, 0, 0, 0, 'root', 'true', '=', '(null)'),
(70, 23, 0, 1, 0, 'os', 'v24', '=', '(null)'),
(71, 23, 1, 0, 1, 'conn', '', '', '->'),
(72, 24, 0, 0, 0, 'root', 'true', '=', '(null)'),
(73, 24, 0, 1, 0, 'os', 'v25', '=', '(null)'),
(74, 24, 1, 0, 1, 'conn', '', '', '->'),
(75, 25, 0, 0, 0, 'root', 'true', '=', '(null)'),
(76, 25, 0, 1, 0, 'os', 'v26', '=', '(null)'),
(77, 25, 1, 0, 1, 'conn', '', '', '->');
INSERT INTO exploit_postcondition VALUES
(0, 0, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(1, 1, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(2, 2, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(3, 3, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(4, 4, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(5, 5, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(6, 6, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(7, 7, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(8, 8, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(9, 9, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(10, 10, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(11, 11, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(12, 12, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(13, 13, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(14, 14, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(15, 15, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(16, 16, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(17, 17, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(18, 18, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(19, 19, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(20, 20, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(21, 21, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(22, 22, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(23, 23, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(24, 24, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert'),
(25, 25, 0, 1, 0, 'root', 'true', '=', '(null)', 'insert');
